Frame,Sub Frame,RF,BF,MG,LG,AT
56,2,-0.000610352,0.0225067,0.0383377,0.0441742,-0.0133896
56,3,-3.81E-05,0.00961304,0.0384903,0.0419998,0.00179291
56,4,-0.00175476,0.0191879,0.0355148,0.0386047,0.0775146
57,0,-0.000534058,0.00164032,0.0366974,0.0416183,0.0849152
57,1,-0.000534058,-0.0421906,0.0387955,0.0416946,0.0774384
57,2,0.00106812,0.0056839,0.0362778,0.0389099,0.0514221
57,3,0.00179291,0.0227356,0.038681,0.0412369,0.0178146
57,4,0.00221252,-0.0149918,0.0370026,0.0415421,0.0457001
58,0,0.00198364,-0.0762558,0.0404358,0.0418472,0.166168
58,1,0.00106812,-0.0292969,0.0406265,0.0431824,0.158882
58,2,0.000343323,0.0600815,0.0390625,0.0440216,0.075798
58,3,0.00457764,0.0542068,0.0384521,0.0395584,-0.0344467
58,4,0.00328064,-0.0062561,0.0328445,0.0352478,-0.0798798
59,0,0.00453949,-0.0279617,0.0250244,0.0298691,-0.0469971
59,1,0.00171661,-0.0798416,0.0259018,0.0302887,0.0562286
59,2,0.000495911,-0.102806,0.0398636,0.0448227,0.115471
59,3,0.000267029,-0.00652313,0.0506973,0.0555038,0.124512
59,4,0.000534058,0.030632,0.0605011,0.0647736,0.132065
60,0,0.000534058,0.0495529,0.0542068,0.0647736,0.043335
60,1,-0.00110626,0.0444794,0.0492096,0.0610733,-0.0137329
60,2,0.000724792,0.0242996,0.0370789,0.0572205,-0.0405121
60,3,-0.00160217,-0.0277328,0.0293732,0.0528336,0.0127029
60,4,0.00125885,0.0289917,0.0261688,0.050087,0.045433
61,0,0.00205994,0.0629807,0.0256729,0.0460815,0.0415802
61,1,0.00125885,0.129128,0.0280762,0.0465393,0.125694
61,2,0.000190735,-0.00862122,0.0269318,0.0470734,0.266342
61,3,0.000305176,-0.0175095,0.0213242,0.0431061,0.213928
61,4,-0.00179291,-0.0348282,0.021286,0.0382233,-0.104561
62,0,-0.000801086,-0.041008,0.0251007,0.043335,-0.228958
62,1,-0.00179291,0.000305176,0.026474,0.0474167,-0.0865936
62,2,-0.000915527,0.00205994,0.0360107,0.0530243,0.0837708
62,3,-0.00148773,-0.00598907,0.0456238,0.0524139,0.07267
62,4,-0.0012207,-0.00988007,0.0515366,0.0483322,-0.0156403
63,0,-0.00110626,0.0018692,0.0531387,0.0479889,0.00988007
63,1,-0.00205994,0.00232697,0.0507355,0.0407791,0.103683
63,2,0.000152588,-0.0223541,0.0424576,0.034256,0.122223
